Year,Province,Value
1981,Newfoundland and Labrador,778
1981,Nova Scotia,958
1981,Ontario,3385
1981,Prince Edward Island,183
1981,Quebec,4508
1981,Saskatchewan,568
1982,Alberta,1226
1982,British Columbia,1273
1982,Manitoba,960
1982,New Brunswick,968
1982,Newfoundland and Labrador,897
1982,Nova Scotia,1055
1982,Ontario,3216
1982,Prince Edward Island,216
1982,Quebec,5588
1982,Saskatchewan,640
1983,Alberta,1271
1983,British Columbia,1504
1983,Manitoba,1017
1983,New Brunswick,987
1983,Newfoundland and Labrador,890
1983,Nova Scotia,1094
1983,Ontario,3908
1983,Prince Edward Island,209
1983,Quebec,6195
1983,Saskatchewan,618
1984,Alberta,1565
1984,British Columbia,1770
1984,Manitoba,1187
1984,New Brunswick,1079
1984,Newfoundland and Labrador,985
1984,Nova Scotia,1252
1984,Ontario,4649
1984,Prince Edward Island,261
1984,Quebec,6650
1984,Saskatchewan,781
1985,Alberta,1884
1985,British Columbia,2012
1985,Manitoba,1240
1985,New Brunswick,1221
1985,Newfoundland and Labrador,1214
1985,Nova Scotia,1241
1985,Ontario,5219
1985,Prince Edward Island,247
1985,Quebec,6832
1985,Saskatchewan,864
1986,Alberta,1743
1986,British Columbia,2052
1986,Manitoba,1175
1986,New Brunswick,1196
1986,Newfoundland and Labrador,1190
1986,Nova Scotia,1226
1986,Ontario,5093
1986,Prince Edward Island,243
1986,Quebec,6360
1986,Saskatchewan,884
1987,Alberta,1902
1987,British Columbia,2190
1987,Manitoba,1372
1987,New Brunswick,1307
1987,Newfoundland and Labrador,1285
1987,Nova Scotia,1327
1987,Ontario,5518
1987,Prince Edward Island,253
1987,Quebec,6683
1987,Saskatchewan,1073
1988,Alberta,2109
1988,British Columbia,2316
1988,Manitoba,1671
1988,New Brunswick,1428
1988,Newfoundland and Labrador,1426
1988,Nova Scotia,1559
1988,Ontario,5819
1988,Prince Edward Island,290
1988,Quebec,7184
1988,Saskatchewan,1176
1989,Alberta,2065
1989,British Columbia,2310
1989,Manitoba,1722
1989,New Brunswick,1529
1989,Newfoundland and Labrador,1483
1989,Nova Scotia,1608
1989,Ontario,5948
1989,Prince Edward Island,315
1989,Quebec,7367
1989,Saskatchewan,1273
1990,Alberta,2110
1990,British Columbia,2291
1990,Manitoba,1794
1990,New Brunswick,1634
1990,Newfoundland and Labrador,1615
1990,Nova Scotia,1722
1990,Ontario,6346
1990,Prince Edward Island,336
1990,Quebec,7543
1990,Saskatchewan,1548
1991,Alberta,2191
1991,British Columbia,2228
1991,Manitoba,2036
1991,New Brunswick,1509
1991,Newfoundland and Labrador,1535
1991,Nova Scotia,1674
1991,Ontario,6992
1991,Prince Edward Island,320
1991,Quebec,7382
1991,Saskatchewan,1793
1992,Alberta,2762
1992,British Columbia,2539
1992,Manitoba,1878
1992,New Brunswick,1738
1992,Newfoundland and Labrador,1637
1992,Nova Scotia,1694
1992,Ontario,7429
1992,Prince Edward Island,324
1992,Quebec,8168
1992,Saskatchewan,1747
1993,Alberta,2268
1993,British Columbia,2824
1993,Manitoba,1802
1993,New Brunswick,1527
1993,Newfoundland and Labrador,1448
1993,Nova Scotia,1662
1993,Ontario,8596
1993,Prince Edward Island,294
1993,Quebec,8740
1993,Saskatchewan,1505
1994,Alberta,1981
1994,British Columbia,2633
1994,Manitoba,1980
1994,New Brunswick,1521
1994,Newfoundland and Labrador,1480
1994,Nova Scotia,1836
1994,Ontario,7945
1994,Prince Edward Island,321
1994,Quebec,8477
1994,Saskatchewan,1468
1995,Alberta,1952
1995,British Columbia,2822
1995,Manitoba,2139
1995,New Brunswick,1660
1995,Newfoundland and Labrador,1588
1995,Nova Scotia,2027
1995,Ontario,8423
1995,Prince Edward Island,324
1995,Quebec,9592
1995,Saskatchewan,1305
1996,Alberta,1646
1996,British Columbia,2070
1996,Manitoba,2029
1996,New Brunswick,1697
1996,Newfoundland and Labrador,1708
1996,Nova Scotia,2015
1996,Ontario,6583
1996,Prince Edward Island,292
1996,Quebec,8109
1996,Saskatchewan,1376
1997,Alberta,1390
1997,British Columbia,1855
1997,Manitoba,1924
1997,New Brunswick,1522
1997,Newfoundland and Labrador,1561
1997,Nova Scotia,1846
1997,Ontario,5269
1997,Prince Edward Island,301
1997,Quebec,7030
1997,Saskatchewan,1065
1998,Alberta,1366
1998,British Columbia,2081
1998,Manitoba,1763
1998,New Brunswick,1609
1998,Newfoundland and Labrador,1856
1998,Nova Scotia,1837
1998,Ontario,5013
1998,Prince Edward Island,337
1998,Quebec,7504
1998,Saskatchewan,1184
1999,Alberta,1815
1999,British Columbia,3017
1999,Manitoba,2293
1999,New Brunswick,1936
1999,Newfoundland and Labrador,2063
1999,Nova Scotia,2125
1999,Ontario,6946
1999,Prince Edward Island,401
1999,Quebec,8096
1999,Saskatchewan,1788
2000,Alberta,2341
2000,British Columbia,3003
2000,Manitoba,2333
2000,New Brunswick,1722
2000,Newfoundland and Labrador,1674
2000,Nova Scotia,1972
2000,Ontario,7196
2000,Prince Edward Island,370
2000,Quebec,8216
2000,Saskatchewan,1636
2001,Alberta,2369
2001,British Columbia,3043
2001,Manitoba,2553
2001,New Brunswick,1992
2001,Newfoundland and Labrador,1727
2001,Nova Scotia,2301
2001,Ontario,7983
2001,Prince Edward Island,452
2001,Quebec,8741
2001,Saskatchewan,1886
2002,Alberta,2129
2002,British Columbia,3665
2002,Manitoba,2560
2002,New Brunswick,1811
2002,Newfoundland and Labrador,1450
2002,Nova Scotia,1989
2002,Ontario,8372
2002,Prince Edward Island,376
2002,Quebec,8239
2002,Saskatchewan,1388
2003,Alberta,3202
2003,British Columbia,3948
2003,Manitoba,3078
2003,New Brunswick,2046
2003,Newfoundland and Labrador,1490
2003,Nova Scotia,2175
2003,Ontario,11080
2003,Prince Edward Island,416
2003,Quebec,8950
2003,Saskatchewan,1670
2004,Alberta,3293
2004,British Columbia,4544
2004,Manitoba,2683
2004,New Brunswick,1868
2004,Newfoundland and Labrador,1345
2004,Nova Scotia,2039
2004,Ontario,11151
2004,Prince Edward Island,387
2004,Quebec,7771
2004,Saskatchewan,2236
2005,Alberta,3839
2005,British Columbia,6374
2005,Manitoba,3655
2005,New Brunswick,2558
2005,Newfoundland and Labrador,4053
2005,Nova Scotia,3803
2005,Ontario,15090
2005,Prince Edward Island,522
2005,Quebec,11595
2005,Saskatchewan,2337
2006,Alberta,3354
2006,British Columbia,5695
2006,Manitoba,3467
2006,New Brunswick,2408
2006,Newfoundland and Labrador,1732
2006,Nova Scotia,2785
2006,Ontario,14226
2006,Prince Edward Island,491
2006,Quebec,12059
2006,Saskatchewan,2234
